drug_name,closest_name,drugbank_id,score
"metoclopramide 
",metoclopramide,DB01233,100.0
"metronidazole 
",metronidazole,DB00916,100.0
"miconazole
",miconazole,DB01110,100.0
"mifepristone
",mifepristone,DB00834,100.0
"misoprostol 
",misoprostol,DB00929,100.0
"morphine
",morphine,DB00295,100.0
"naloxone
",naloxone,DB01183,100.0
"neostigmine 
",neostigmine,DB01400,100.0
"niclosamide
",niclosamide,DB06803,100.0
"nicotinamide
",nicotinamide,DB02701,100.0
"nifedipine
",nifedipine,DB01115,100.0
"nifurtimox 
",nifurtimox,DB11820,100.0
"nitrofurantoin
",nitrofurantoin,DB00698,100.0
"nitrous oxide
",nitrous oxide,DB06690,100.0
"norethisterone 
",norethisterone,DB00717,100.0
"nystatin
",nystatin,DB00646,100.0
"ofloxacin
",ofloxacin,DB01165,100.0
"omeprazole 
",omeprazole,DB00338,100.0
"ondansetron
",ondansetron,DB00904,100.0
"oseltamivir 
",oseltamivir,DB00198,100.0
"oxamniquine
",oxamniquine,DB01096,100.0
"oxygen 
",oxygen,DB09140,100.0
"oxytocin
",oxytocin,DB00107,100.0
"p‐aminosalicylic acid 
",aminosalicylic acid,DB00233,95.0
"paromomycin 
",paromomycin,DB01421,100.0
"penicillamine
",penicillamine,DB00859,100.0
"pentamidine
",pentamidine,DB00738,100.0
"permethrin 
",permethrin,DB04930,100.0
"pertussis vaccine 
",pertussis vaccine,DB15274,100.0
"phenobarbital
",phenobarbital,DB01174,100.0
"phenoxymethylpenicillin 
",phenoxymethylpenicillin,DB00417,100.0
"phenytoin 
",phenytoin,DB00252,100.0
"pilocarpine 
",pilocarpine,DB01085,100.0
"polyvidone iodine 
",povidone-iodine,DB06812,94.0
"potassium chloride
",potassium chloride,DB00761,100.0
"(Prussian blue) 
",prussian blue,DB06783,100.0
"potassium iodide 
",potassium iodide,DB06715,100.0
"potassium permanganate
",potassium permanganate,DB13831,100.0
"praziquantel
",praziquantel,DB01058,100.0
"prednisolone 
",prednisolone,DB00860,100.0
"primaquine
",primaquine,DB01087,100.0
"procaine benzylpenicillin
",procaine benzylpenicillin,DB09320,100.0
"procarbazine
",procarbazine,DB01168,100.0
"proguanil
",proguanil,DB01131,100.0
"promethazine
",promethazine,DB01069,100.0
"propranolol 
",propranolol,DB00571,100.0
"propylthiouracil 
",propylthiouracil,DB00550,100.0
"protamine sulfate 
",protamine sulfate,DB09141,100.0
"pyrantel 
",pyrantel,DB11156,100.0
"pyrazinamide
",pyrazinamide,DB00339,100.0
"pyridostigmine
",pyridostigmine,DB00545,100.0
"pyridoxine
",pyridoxine,DB00165,100.0
"pyrimethamine 
",pyrimethamine,DB00205,100.0
"quinine
",quinine,DB00468,100.0
"ranitidine
",ranitidine,DB00863,100.0
"ribavirin
",ribavirin,DB00811,100.0
"riboflavin
",riboflavin,DB00140,100.0
"rifabutin
",rifabutin,DB00615,100.0
"ritonavir
",ritonavir,DB00503,100.0
"rotavirus vaccine 
",rotavirus vaccine,DB10276,100.0
"salicylic acid
",salicylic acid,DB00936,100.0
"selenium sulfide 
",selenium sulfide,DB00971,100.0
"silver sulfadiazine 
",silver sulfadiazine,DB05245,100.0
"simvastatin
",simvastatin,DB00641,100.0
"sodium chloride 
",sodium chloride,DB09153,100.0
"sodium fluoride
",sodium fluoride,DB09325,100.0
"sodium lactate 
",sodium acetate,DB09395,93.0
"sodium nitrite 
",sodium nitrate,DB15952,93.0
"sodium stibogluconate or  
",sodium stibogluconate,DB05630,93.0
"meglumine antimoniate 
",meglumine antimoniate,DB13732,100.0
"spectinomycin 
",spectinomycin,DB00919,100.0
"spironolactone 
",spironolactone,DB00421,100.0
"streptokinase
",streptokinase,DB00086,100.0
"streptomycin
",streptomycin,DB01082,100.0
"sulfadiazine
",sulfadiazine,DB00359,100.0
"sulfasalazine
",sulfasalazine,DB00795,100.0
"tamoxifen 
",tamoxifen,DB00675,100.0
"testosterone
",testosterone,DB00624,100.0
"tetracaine 
",tetracaine,DB09085,100.0
"tetracycline
",tetracycline,DB00759,100.0
"thiamine
",thiamine,DB00152,100.0
"thiopental 
",thiopental,DB00599,100.0
"timolol
",timolol,DB00373,100.0
"triclabendazole 
",triclabendazole,DB12245,100.0
"trimethoprim 
",trimethoprim,DB00440,100.0
"tropicamide
",tropicamide,DB00809,100.0
"tuberculin, purified protein derivative (PPD)
",tuberculin purified protein derivative,DB11601,95.0
"typhoid vaccine 
",typhoid vaccine,DB14022,100.0
"urea 
",urea,DB03904,100.0
"valproic acid
",valproic acid,DB00313,100.0
"vancomycin
",vancomycin,DB00512,100.0
"vecuronium
",vecuronium,DB01339,100.0
"verapamil 
",verapamil,DB00661,100.0
"vinblastine
",vinblastine,DB00570,100.0
"vincristine
",vincristine,DB00541,100.0
"warfarin 
",warfarin,DB00682,100.0
"xylometazoline 
",xylometazoline,DB06694,100.0
"yellow fever vaccine 
",yellow fever vaccine,DB10805,100.0
zinc sulfate,zinc sulfate,DB09322,100.0
